model_base,name,price,compatible_body_sizes
SF10-150,手轮装置-小型,380,SF10
SF14-200,手轮装置-标准型,450,SF14
SF16-250,手轮装置-加长型,500,SF16
SF25-350,手轮装置-重型,1600,SF25
SF30-450,手轮装置-超重型,2400,SF30
SF35-550,手柄装置-标准型,3500,SF35
SF40-600,手柄装置-加强型,3800,SF40
SF48-800,链轮装置-标准型,4300,SF48
SF60-800,链轮装置-加强型,4600,SF60
SF10-150DA,蜗轮箱-小型,600,SF10
SF14-200DA,蜗轮箱-标准型,900,SF14
SF16-250DA,蜗轮箱-加长型,2000,SF16
SF25-350DA,蜗轮箱-重型,2000,SF25
SF30-450DA,蜗轮箱-超重型,2400,SF30
SF35-550DA,蜗轮箱-特殊型,3300,SF35
SF40-600DA,蜗轮箱-加强型,4000,SF40
SF48-800DA,蜗轮箱-高扭矩型,5600,SF48
SF60-800DA,蜗轮箱-超高扭矩型,6700,SF60
